applicants_organisations_only, applicants_useme, cited_count, cpc_codes_useme, dois, extended_family_size, inventors_useme, ipc_codes, ipc_short, ipc_subclass, non_patent_citations, priority_country_codes, priority_country_name, priority_date, priority_numbers, priority_year, publication_country_code, publication_country_name, publication_date, publication_number, publication_year, simple_family_size, title, title_phrases, url
"MAINTENANCE CO STATE GRID SHANDONG ELECTRIC POWER CO; STATE GRID CORP CHINA","MAINTENANCE CO STATE GRID SHANDONG ELECTRIC POWER CO; STATE GRID CORP CHINA","0","","","1","FENG YINGCHUN; LIU JIAFENG; LIU QUANBAO; LIU YUHAI; MOU SHANFENG; SUN SHINIAN; WANG HAO; WU RANGXIN; YIN GUOHUI; YU HONGZHI; ZHANG XINCHENG","H02G1/02","Generating Electricity","H02G: Electricity -> Generation, Conversion, Or Distribution Of Electric Power -> Installation Of Electric Cables Or Lines, Or Of Combined Optical And Electric Cables Or Lines","","CN","China","20150417","CN 201510182920 A","2015","CN","China","2015-8-19","CN 104852326 A","2015","1","Foreign Matter Live Removing Spike Robotic Arm","foreign Matter; Spike Robotic Arm","https://lens.org/049-871-187-035-547"
"PICPOCKET INC","PICPOCKET INC","0","G06Q50/10; G06Q50/28","","2","GAUGLITZ WOLFRAM K","G06F19/00; G06Q10/08","Computing","G06F: Physics -> Computing; Calculating; Counting -> Electric Digital Data Processing; G06Q: Physics -> Computing; Calculating; Counting -> Data Processing Systems Or Methods, Specially Adapted For Administrative, Commercial, Financial, Managerial, Supervisory Or Forecasting Purposes; Systems Or Methods Specially Adapted For Administrative, Commercial, Financial, Managerial, Supervisory Or Forecasting Purposes, Not Otherwise Provided For","","US","United States of America","20141217","US 201462093063 P","2014","WO","WIPO (PCT)","2016-6-23","WO 2016/100601 A2","2016","2","Drone Based Systems And Methodologies For Capturing Images","drone Based Systems; Images; Methodologies","https://lens.org/076-852-076-123-902"
"","NUNES BRENDON","5","F21S6/003; F21S8/035; F21V33/00; F21W2121/00; F21Y2101/00","","1","NUNES BRENDON","A61G13/00; F21S4/00; F21V21/00; F21V33/00; F21V9/00; H05B37/02","Electric Heating; Lighting; Medical","A61G: Human Necessities -> Medical Or Veterinary Science; Hygiene -> Transport, Personal Conveyances, Or Accommodation Specially Adapted For Patients Or Disabled Persons; Operating Tables Or Chairs; Chairs For Dentistry; Funeral Devices; F21S: Mechanical Engineering; Lighting; Heating; Weapons; Blasting -> Lighting -> Non-Portable Lighting Devices Or Systems Thereof; F21V: Mechanical Engineering; Lighting; Heating; Weapons; Blasting -> Lighting -> Functional Features Or Details Of Lighting Devices Or Systems Thereof; Structural Combinations Of Lighting Devices With Other Articles, Not Otherwise Provided For; H05B: Electricity -> Electric Techniques Not Otherwise Provided For -> Electric Heating; Electric Lighting Not Otherwise Provided For","","US","United States of America","20080508","US 7161508 P","2008","US","United States of America","2009-11-12","US 2009/0278480 A1","2009","1","Aircraft Simulating Lighting Fixture","aircraft; Lighting Fixture","https://lens.org/046-551-846-856-049"
"SHENYANG AIRCRAFT DESIGN INST AVIATION IND CORP OF CHINA","SHENYANG AIRCRAFT DESIGN INST AVIATION IND CORP OF CHINA","0","","","1","GAO HONGTAO; HE JUN; LU WENSHU; MA YUANCHUN; MENG LINGSAI; XU DENGSHUN; ZHOU BIN","B64D17/30; F41J9/08","Aircraft; Weapons","B64D: Performing Operations; Transporting -> Aircraft; Aviation; Cosmonautics -> Equipment For Fitting In Or To Aircraft; Flying Suits; Parachutes; Arrangements Or Mounting Of Power Plants Or Propulsion Transmissions In Aircraft; F41J: Mechanical Engineering; Lighting; Heating; Weapons; Blasting -> Weapons -> Targets; Target Ranges; Bullet Catchers","","CN","China","20151126","CN 201510852970 A","2015","CN","China","2016-3-9","CN 105387771 A","2016","1","Hiding Structure For Drone Aircraft Parachute Lanyards","Drone Aircraft Parachute Lanyards; hiding Structure","https://lens.org/113-103-958-699-921"
"","PANOPOULOS PETER J","9","F21S8/085; F21V14/02; F21V19/02; F21V23/0442; F21V29/59; F21W2131/103; F21Y2101/00; F21Y2105/10; F21Y2113/00; F21Y2115/10; H05B33/0803; H05B37/0209; H05B37/0218; H05B37/0227; H05B37/0236; H05B37/0245; Y02B20/383; Y02B20/46; Y02B20/72","","1","PANOPOULOS PETER J; RAMSEY GORDON PAUL","F21V14/02; H05B33/08; H05B37/02","Electric Heating; Lighting","F21V: Mechanical Engineering; Lighting; Heating; Weapons; Blasting -> Lighting -> Functional Features Or Details Of Lighting Devices Or Systems Thereof; Structural Combinations Of Lighting Devices With Other Articles, Not Otherwise Provided For; H05B: Electricity -> Electric Techniques Not Otherwise Provided For -> Electric Heating; Electric Lighting Not Otherwise Provided For","","US","United States of America","20130805","US 201361958755 P","2013","US","United States of America","2015-2-5","US 2015/0035437 A1","2015","1","Led Lighting System","led Lighting System","https://lens.org/191-580-759-728-372"
"STERILIZ LLC","STERILIZ LLC","1","A61L2/10; A61L2/202; A61L2/208; A61L2/24; A61L2202/11; A61L2202/14; A61L2202/16; A61L2202/25; A61L9/015; A61L9/20; G01J1/429","","18","TRAPANI SAM","A61L2/10; A61L2/24; G01J1/42","Measuring; Medical","A61L: Human Necessities -> Medical Or Veterinary Science; Hygiene -> Methods Or Apparatus For Sterilising Materials Or Objects In General; Disinfection, Sterilisation, Or Deodorisation Of Air; Chemical Aspects Of Bandages, Dressings, Absorbent Pads, Or Surgical Articles; Materials For Bandages, Dressings, Absorbent Pads, Or Surgical Articles; G01J: Physics -> Measuring; Testing -> Measurement Of Intensity, Velocity, Spectral Content, Polarisation, Phase Or Pulse Characteristics Of Infra-Red, Visible Or Ultra-Violet Light; Colorimetry; Radiation Pyrometry","Mao et al. Sampling Frequency Optimization in Wireless Sensor Network-Based Control System. Shanghai Jiao Tong Unitversity. APWeb Workshops. 2006","US","United States of America","20110415; 20130426; 20140428","US 201161475722 P; US 201361816530 P; US 201414263774 A","2011; 2013; 2014","US","United States of America","2015-3-26","US 2015/0086420 A1","2015","1","Room Sterilization Method And System","room Sterilization Method; system","https://lens.org/017-074-493-816-816"
"ATM S R L","ATM S R L","0","B64C2201/121; B64C2201/125; B64C39/024; B64D1/12; F42D3/00","","1","PETACCHI GIANFRANCO","B64C39/02; B64D1/12; F42D3/00","Aircraft; Weapons","B64C: Performing Operations; Transporting -> Aircraft; Aviation; Cosmonautics -> Aeroplanes; Helicopters; B64D: Performing Operations; Transporting -> Aircraft; Aviation; Cosmonautics -> Equipment For Fitting In Or To Aircraft; Flying Suits; Parachutes; Arrangements Or Mounting Of Power Plants Or Propulsion Transmissions In Aircraft; F42D: Mechanical Engineering; Lighting; Heating; Weapons; Blasting -> Ammunition; Blasting -> Blasting","EDWARD D MCCORMACK: ""The Use of Small Unmanned Aircraft by the Washington State Department of Transportation"", 1 June 2008 (2008-06-01), XP055233554, Retrieved from the Internet <URL:http://www.wsdot.wa.gov/research/reports/fullreports/703.1.pdf> [retrieved on 20151203; None","IT","Italy","20140723","IT AO20140003 U","2014","EP","European Patent Office","2016-1-27","EP 2977318 A1","2016","1","Remotely Piloted Aircraft Or Drone Adapted To Induce Artificial Avalanche Detachment","aircraft; Artificial Avalanche Detachment; Drone","https://lens.org/088-181-397-923-59X"
"","CHEN THEODORE C; ROSE JAMES W","0","A23L33/10; A23L33/15; A23L33/16; A23L33/17; A23L33/40; A23V2002/00; B01F13/1063; G09B19/0092","","1","CHEN THEODORE C; ROSE JAMES W","A23L1/29; A23L1/30; A23L1/302; A23L1/304; A23L1/305; B01F13/00; B01F15/00; B01F15/02; G09B19/00","Foodstuffs; Separation/Mixing; Signs, Advertising","A23L: Human Necessities -> Foods Or Foodstuffs; Their Treatment, Not Covered By Other Classes -> Foods, Foodstuffs, Or Non-Alcoholic Beverages, Not Covered By Subclasses A21d Or A23b-A23j; Their Preparation Or Treatment, E.G. Cooking, Modification Of Nutritive Qualities, Physical Treatment; Preservation Of Foods Or Foodstuffs, In General; B01F: Performing Operations; Transporting -> Physical Or Chemical Processes Or Apparatus In General -> Mixing, E.G. Dissolving, Emulsifying, Dispersing; G09B: Physics -> Educating; Cryptography; Display; Advertising; Seals -> Educational Or Demonstration Appliances; Appliances For Teaching, Or Communicating With, The Blind, Deaf Or Mute; Models; Planetaria; Globes; Maps; Diagrams","","US","United States of America","20140606; 20140703","US 201462009068 P; US 201462020679 P","2014","US","United States of America","2015-12-10","US 2015/0356885 A1","2015","1","Method And Apparatus For Generating And Delivering Personalized Nutrition","Apparatus; method; Personalized Nutrition","https://lens.org/003-531-822-984-734"
"DISNEY ENTPR INC","DISNEY ENTPR INC","0","B64C2201/00; B64C2201/123; G03B21/10; G03B21/28; G03B21/56; G03B21/562; G03B21/565; G03B21/567; G03B21/62; G03B37/00; G03B37/06","","2","ILARDI MICHAEL J; WONG CLIFFORD W","G03B21/10; G03B21/28; G03B21/56; G03B21/62; G03B37/00","Photography","G03B: Physics -> Photography; Cinematography; Analogous Techniques Using Waves Other Than Optical Waves; Electrography; Holography -> Apparatus Or Arrangements For Taking Photographs Or For Projecting Or Viewing Them; Apparatus Or Arrangements Employing Analogous Techniques Using Waves Other Than Optical Waves; Accessories Therefor","","US","United States of America","20140731","US 201414448777 A","2014","US","United States of America","2016-2-4","US 2016/0033855 A1","2016","2","Projection Assemblies For Use With Unmanned Aerial Vehicles","projection Assemblies; unmanned Aerial Vehicles; Use","https://lens.org/095-326-597-678-873"
"FACEBOOK INC","FACEBOOK INC","0","H04L67/2842; H04L67/2861","","1","COGLITORE GIOVANNI; VIJAYRAO NARSING","H04L29/08","Electric Communication/Television","H04L: Electricity -> Electric Communication Technique -> Transmission Of Digital Information, E.G. Telegraphic Communication","","US","United States of America","20140723","US 201414339002 A","2014","US","United States of America","2016-1-28","US 2016/0028830 A1","2016","1","Rural Area Network Device","rural Area Network Device","https://lens.org/075-562-406-705-322"
"BEIJING BEEHALL BIOPHARMACEUTICAL CO LTD","BEIJING BEEHALL BIOPHARMACEUTICAL CO LTD","0","","","1","REN DIWEI","A23L21/20; A23L33/10; A23L33/105; A23L33/125; A23L33/135","Foodstuffs","A23L: Human Necessities -> Foods Or Foodstuffs; Their Treatment, Not Covered By Other Classes -> Foods, Foodstuffs, Or Non-Alcoholic Beverages, Not Covered By Subclasses A21d Or A23b-A23j; Their Preparation Or Treatment, E.G. Cooking, Modification Of Nutritive Qualities, Physical Treatment; Preservation Of Foods Or Foodstuffs, In General","","CN","China","20160203","CN 201610075063 A","2016","CN","China","2016-4-6","CN 105455083 A","2016","1","Compounded Bee Pollen And Preparation Method Thereof","compounded Bee Pollen; Preparation Method","https://lens.org/154-056-192-638-946"
"","Not Available","0","","","1","ì •ì˜ì; ìµœìž¬í","B64C39/02; B64D45/00; B64D47/08; G06Q50/06","Aircraft; Computing","B64C: Performing Operations; Transporting -> Aircraft; Aviation; Cosmonautics -> Aeroplanes; Helicopters; B64D: Performing Operations; Transporting -> Aircraft; Aviation; Cosmonautics -> Equipment For Fitting In Or To Aircraft; Flying Suits; Parachutes; Arrangements Or Mounting Of Power Plants Or Propulsion Transmissions In Aircraft; G06Q: Physics -> Computing; Calculating; Counting -> Data Processing Systems Or Methods, Specially Adapted For Administrative, Commercial, Financial, Managerial, Supervisory Or Forecasting Purposes; Systems Or Methods Specially Adapted For Administrative, Commercial, Financial, Managerial, Supervisory Or Forecasting Purposes, Not Otherwise Provided For","","KR","Republic of Korea","20151111","KR 20150158328 A","2015","KR","Republic of Korea","2016-6-7","KR 101627348 B1","2016","1","Flight Operating System For Controlling Unmanned Drone And Method Thereof","Controlling Unmanned Drone; flight Operating System; method","https://lens.org/161-753-409-501-148"
"PARALLEL WIRELESS INC","PARALLEL WIRELESS INC","0","H04B1/3822; H04W4/025; H04W4/06; H04W52/282; H04W68/005","","1","AGARWAL KAITKI; GARG SUMIT; MISHRA RAJESH KUMAR; TALLURI MURALI","H04B1/3822; H04L12/801; H04W4/02; H04W4/06; H04W52/28; H04W68/00","Electric Communication/Television; Wireless Communication Networks","H04B: Electricity -> Electric Communication Technique -> Transmission; H04L: Electricity -> Electric Communication Technique -> Transmission Of Digital Information, E.G. Telegraphic Communication; H04W: Electricity -> Electric Communication Technique -> Wireless Communication Networks","","US","United States of America","20141119","US 201462082111 P","2014","US","United States of America","2016-5-19","US 2016/0142880 A1","2016","1","Enhanced Mobile Base Station","enhanced Mobile Base Station","https://lens.org/079-972-752-865-692"
"","ì¡°ìŠ¹ì","0","","","1","ì¡°ìŠ¹ì","B64C39/02; G01S19/01; H04N7/18","Aircraft; Direction Finding; Electric Communication/Television","B64C: Performing Operations; Transporting -> Aircraft; Aviation; Cosmonautics -> Aeroplanes; Helicopters; G01S: Physics -> Measuring; Testing -> Radio Direction-Finding; Radio Navigation; Determining Distance Or Velocity By Use Of Radio Waves; Locating Or Presence-Detecting By Use Of The Reflection Or Reradiation Of Radio Waves; Analogous Arrangements Using Other Waves; H04N: Electricity -> Electric Communication Technique -> Pictorial Communication, E.G. Television","","KR","Republic of Korea","20151016","KR 20150145006 A","2015","KR","Republic of Korea","2016-7-11","KR 101638500 B1","2016","1","Surveillance System And Method Using Drones","Drones; method; surveillance System","https://lens.org/086-417-486-174-960"
"ë“œë¦¼ìŠ¤íŽ˜ì´ìŠ¤ì›”ë“œì£¼ì‹íšŒì","ë“œë¦¼ìŠ¤íŽ˜ì´ìŠ¤ì›”ë“œì£¼ì‹íšŒì","0","","","1","ì´ì„±í","B64C39/02; B64D45/08","Aircraft","B64C: Performing Operations; Transporting -> Aircraft; Aviation; Cosmonautics -> Aeroplanes; Helicopters; B64D: Performing Operations; Transporting -> Aircraft; Aviation; Cosmonautics -> Equipment For Fitting In Or To Aircraft; Flying Suits; Parachutes; Arrangements Or Mounting Of Power Plants Or Propulsion Transmissions In Aircraft","","KR","Republic of Korea","20150616","KR 20150084800 A","2015","KR","Republic of Korea","2016-7-15","KR 101640199 B1","2016","1","Apparatus For Guiding Safe Landing Of Drone","Apparatus; Drone; Guiding Safe Landing","https://lens.org/138-235-219-289-197"
"INTEL CORP","INTEL CORP","0","B64C2201/00; B64C39/024; G08G5/0004; G08G5/0082","","1","KOHLENBERG TOBIAS; LI HONG; TATOURIAN IGOR; WOUHAYBI RITA H","B64C39/02; G08G5/00","Aircraft; Signalling","B64C: Performing Operations; Transporting -> Aircraft; Aviation; Cosmonautics -> Aeroplanes; Helicopters; G08G: Physics -> Signalling -> Traffic Control Systems","","US","United States of America","20141223","US 201414581881 A","2014","US","United States of America","2016-6-23","US 2016/0180719 A1","2016","1","Community Drone Monitoring And Information Exchange","community Drone; Information Exchange","https://lens.org/101-119-683-723-451"
"","CRAGG BRANDON","0","B64C2201/108; B64C2201/12; B64C2201/146; B64C27/08; B64C27/32; B64C39/024; B64D47/00; B64D47/02; B64D47/08","","1","CRAGG BRANDON","B64C27/08; B64C27/32; B64C39/02; B64D47/00; B64D47/02; B64D47/08","Aircraft","B64C: Performing Operations; Transporting -> Aircraft; Aviation; Cosmonautics -> Aeroplanes; Helicopters; B64D: Performing Operations; Transporting -> Aircraft; Aviation; Cosmonautics -> Equipment For Fitting In Or To Aircraft; Flying Suits; Parachutes; Arrangements Or Mounting Of Power Plants Or Propulsion Transmissions In Aircraft","","US","United States of America","20141219","US 201462094554 P","2014","US","United States of America","2016-7-28","US 2016/0214713 A1","2016","1","Unmanned Aerial Vehicle With Lights, Audio And Video","Audio; Lights; Unmanned Aerial Vehicle; Video","https://lens.org/058-175-650-547-219"
"","MEFFERT GREG","0","B64C2201/127; B64C2201/146; B64C39/024; B64D47/08; G01N15/06; G01N2015/0693; G01S17/88; G01W1/00; G05D1/00","","2","MEFFERT GREG","B64C39/02; B64D47/08; G01N15/06; G01S17/88; G01W1/00; G05D1/00","Aircraft; Control Systems; Direction Finding; Measuring; Meteorology","B64C: Performing Operations; Transporting -> Aircraft; Aviation; Cosmonautics -> Aeroplanes; Helicopters; B64D: Performing Operations; Transporting -> Aircraft; Aviation; Cosmonautics -> Equipment For Fitting In Or To Aircraft; Flying Suits; Parachutes; Arrangements Or Mounting Of Power Plants Or Propulsion Transmissions In Aircraft; G01N: Physics -> Measuring; Testing -> Investigating Or Analysing Materials By Determining Their Chemical Or Physical Properties; G01S: Physics -> Measuring; Testing -> Radio Direction-Finding; Radio Navigation; Determining Distance Or Velocity By Use Of Radio Waves; Locating Or Presence-Detecting By Use Of The Reflection Or Reradiation Of Radio Waves; Analogous Arrangements Using Other Waves; G01W: Physics -> Measuring; Testing -> Meteorology; G05D: Physics -> Controlling; Regulating -> Systems For Controlling Or Regulating Non-Electric Variables","","US","United States of America","20141121; 20150717; 20150910; 20160322","US 201462082766 P; US 201562193712 P; US 201562216434 P; US 201615077165 A","2014; 2015; 2016","US","United States of America","2016-7-28","US 2016/0214715 A1","2016","1","Systems, Methods And Devices For Collecting Data At Remote Oil And Natural Gas Sites","Collecting Data; Devices; methods; Natural Gas Sites; Remote Oil; Systems","https://lens.org/063-509-293-513-376"
"","ERÃ„NKÃ– TIMO","0","H04L43/04; H04L43/0805; H04L67/12; H04L67/18; H04L67/42","","2","ERÃ„NKÃ– TIMO","H04L12/26; H04L29/06","Electric Communication/Television","H04L: Electricity -> Electric Communication Technique -> Transmission Of Digital Information, E.G. Telegraphic Communication","","US","United States of America","20150128","US 201514607538 A","2015","US","United States of America","2016-7-28","US 2016/0218940 A1","2016","2","System And Method For Communication In A Telecommunication Network","Communication; method; system; Telecommunication Network","https://lens.org/142-096-914-568-646"
"ì „ìžë¶€í’ˆì—°êµ¬ì","ì „ìžë¶€í’ˆì—°êµ¬ì","0","","","1","ê¹€ì •í; ë¥˜ë¯¼ìš; ì´ìœ ì; ì´ìƒì; ì „ì œì; ì„±ë‚™ë; ì†¡ë¯¼í; ì•ˆì¼ì","B64C13/18; B64C39/02; B64D47/00; G06Q50/30; G08G5/00","Aircraft; Computing; Signalling","B64C: Performing Operations; Transporting -> Aircraft; Aviation; Cosmonautics -> Aeroplanes; Helicopters; B64D: Performing Operations; Transporting -> Aircraft; Aviation; Cosmonautics -> Equipment For Fitting In Or To Aircraft; Flying Suits; Parachutes; Arrangements Or Mounting Of Power Plants Or Propulsion Transmissions In Aircraft; G06Q: Physics -> Computing; Calculating; Counting -> Data Processing Systems Or Methods, Specially Adapted For Administrative, Commercial, Financial, Managerial, Supervisory Or Forecasting Purposes; Systems Or Methods Specially Adapted For Administrative, Commercial, Financial, Managerial, Supervisory Or Forecasting Purposes, Not Otherwise Provided For; G08G: Physics -> Signalling -> Traffic Control Systems","","KR","Republic of Korea","20141219","KR 20140183690 A","2014","KR","Republic of Korea","2016-6-29","KR 20160074895 A","2016","1","The Method And Apparatus For Updating Flight Path Of Drone","Apparatus; Drone; Flight Path; method","https://lens.org/034-274-210-610-256"
"ì „ìžë¶€í’ˆì—°êµ¬ì","ì „ìžë¶€í’ˆì—°êµ¬ì","0","","","1","ê¹€ì •í; ë¥˜ë¯¼ìš; ì´ìœ ì; ì´ìƒì; ì „ì œì; ì„±ë‚™ë; ì†¡ë¯¼í; ì•ˆì¼ì","B64C39/02; B64D47/00; G08G5/00","Aircraft; Signalling","B64C: Performing Operations; Transporting -> Aircraft; Aviation; Cosmonautics -> Aeroplanes; Helicopters; B64D: Performing Operations; Transporting -> Aircraft; Aviation; Cosmonautics -> Equipment For Fitting In Or To Aircraft; Flying Suits; Parachutes; Arrangements Or Mounting Of Power Plants Or Propulsion Transmissions In Aircraft; G08G: Physics -> Signalling -> Traffic Control Systems","","KR","Republic of Korea","20141219","KR 20140183691 A","2014","KR","Republic of Korea","2016-6-29","KR 20160074896 A","2016","1","The Method And Apparatus For Configuring Flight Path Of Drone","Apparatus; Drone; Flight Path; method","https://lens.org/034-831-613-062-994"
"","Not Available","0","","","1","ê³µí˜„ì; ë¬¸ì„±íƒœ; ì´ìœ ì; ì´í•œì; ìµœê¸°í; ìž¥ì¢…íƒœ; ì„±ëª…í; í•œìƒí; í™©ì¸í","B64C27/08; B64C39/02; B64D47/00","Aircraft","B64C: Performing Operations; Transporting -> Aircraft; Aviation; Cosmonautics -> Aeroplanes; Helicopters; B64D: Performing Operations; Transporting -> Aircraft; Aviation; Cosmonautics -> Equipment For Fitting In Or To Aircraft; Flying Suits; Parachutes; Arrangements Or Mounting Of Power Plants Or Propulsion Transmissions In Aircraft","","KR","Republic of Korea","20141215","KR 20140180051 A","2014","KR","Republic of Korea","2016-6-23","KR 20160072445 A","2016","1","Drone For Saving A Life On The Sea","Drone; Life; Sea","https://lens.org/050-440-405-803-374"
"ê²½ìš´ëŒ€í•™êµ ì‚°í•™í˜‘ë ¥ë","ê²½ìš´ëŒ€í•™êµ ì‚°í•™í˜‘ë ¥ë","0","","","1","ë°•ê·¼ë; ì´ì°½ì","B64C27/08; B64C39/02; B64D47/00","Aircraft","B64C: Performing Operations; Transporting -> Aircraft; Aviation; Cosmonautics -> Aeroplanes; Helicopters; B64D: Performing Operations; Transporting -> Aircraft; Aviation; Cosmonautics -> Equipment For Fitting In Or To Aircraft; Flying Suits; Parachutes; Arrangements Or Mounting Of Power Plants Or Propulsion Transmissions In Aircraft","","KR","Republic of Korea","20141229","KR 20140192028 A","2014","KR","Republic of Korea","2016-7-11","KR 20160082773 A","2016","1","Drone For Aviation Disaster Prevention","Aviation Disaster Prevention; Drone","https://lens.org/013-534-051-825-829"
"ì „ìžë¶€í’ˆì—°êµ¬ì","ì „ìžë¶€í’ˆì—°êµ¬ì","0","","","1","ê¹€ì •í; ë¥˜ë¯¼ìš; ì´ìœ ì; ì´ìƒì; ì „ì œì; ì„±ë‚™ë; ì†¡ë¯¼í; ì•ˆì¼ì","B64C39/02; B64D47/00; G08G5/00","Aircraft; Signalling","B64C: Performing Operations; Transporting -> Aircraft; Aviation; Cosmonautics -> Aeroplanes; Helicopters; B64D: Performing Operations; Transporting -> Aircraft; Aviation; Cosmonautics -> Equipment For Fitting In Or To Aircraft; Flying Suits; Parachutes; Arrangements Or Mounting Of Power Plants Or Propulsion Transmissions In Aircraft; G08G: Physics -> Signalling -> Traffic Control Systems","","KR","Republic of Korea","20141219","KR 20140183692 A","2014","KR","Republic of Korea","2016-6-29","KR 20160074897 A","2016","1","The Method And Apparatus For Allowing Right Of Flight Of Drone","Apparatus; Drone; Flight; method; Right","https://lens.org/027-404-802-338-03X"
